ipc_section,ipc_title,ipc_page,bns_section,bns_page,similarity,alternatives,relation,verified,verified_by,notes
1,"The Indian Penal Code has been extended to Berar by the Berar Laws Act, 1941 (4 of 1941) a",14,358,102,0.5408,BNS 1@0.507,one_to_one_candidate,false,,
2,Punishment of offences committed within India,14,13,10,0.6942,BNS 249@0.680,one_to_one_candidate,false,,
3,"Punishment of offences committed beyond, but which by law may be tried within, India",14,249,68,0.6968,BNS 253@0.692,one_to_one_candidate,false,,
5,"Section 5. Subs. by the A. O. 1950, for “of Her Majesty or in the Imperial Service Troops”",117,161,49,0.5135,BNS 170@0.500;BNS 167@0.490,one_to_one_candidate,false,,
6,Definitions in the Code to be understood subject to exceptions,15,3,6,0.8643,BNS 21@0.683;BNS 27@0.670;BNS 36@0.664,one_to_one_candidate,false,,
7,"Section 7. The original words “of the Queen while serving under the Government of India, o",16,358,102,0.4979,,one_to_one_candidate,false,,
8,"Section 8. Subs. by the A.O. 1950, for “the Provincial Government of the Province within w",21,8,8,0.5521,BNS 5@0.522,one_to_one_candidate,false,,
9,Number,15,9,9,0.4336,BNS 2@0.415;BNS 57@0.409,one_to_one_candidate,false,,
10,“Man”.“Woman”,15,63,23,0.384,BNS 99@0.377;BNS 2@0.362,one_to_one_candidate,false,,
11,Section 11. The words “Her Majesty or” omitted by the A.O. 1950. The words “or the Crown R,36,358,102,0.3826,,one_to_one_candidate,false,,
13,[Definition of “Queen”.] Omitted by the A. O. 1950. 8[14. “Servant of Government”,15,205,58,0.4878,,one_to_one_candidate,false,,
19,“Judge”,16,15,11,0.6298,,one_to_one_candidate,false,,
20,“Court of Justice”,16,15,11,0.5541,BNS 16@0.510,one_to_one_candidate,false,,
21,“Public servant”,16,205,58,0.6533,BNS 197@0.623,one_to_one_candidate,false,,
22,“Movable property”,18,303,78,0.4897,BNS 302@0.472;BNS 345@0.472;BNS 41@0.463,one_to_one_candidate,false,,
23,“Wrongful gain”,18,244,67,0.5389,BNS 314@0.511;BNS 127@0.498,one_to_one_candidate,false,,
24,“Dishonestly”,18,318,86,0.6154,BNS 315@0.597;BNS 246@0.593;BNS 322@0.591,one_to_one_candidate,false,,
25,“Fraudulently”,18,246,68,0.6228,BNS 318@0.615;BNS 245@0.612;BNS 244@0.609,one_to_one_candidate,false,,
26,“Reason to believe”,18,17,11,0.4447,BNS 26@0.416,one_to_one_candidate,false,,
27,"“Property in possession of wife, clerk or servant”",18,306,80,0.5738,BNS 315@0.559;BNS 67@0.508,one_to_one_candidate,false,,
28,“Counterfeit”,18,342,96,0.6573,BNS 347@0.641;BNS 349@0.624,one_to_one_candidate,false,,
29,“Document”,18,2,2,0.6784,BNS 337@0.611;BNS 335@0.609,one_to_one_candidate,false,,
30,“Valuable security”,19,338,95,0.608,BNS 2@0.498,one_to_one_candidate,false,,
32,Words referring to acts include illegal omissions,19,29,13,0.5218,,one_to_one_candidate,false,,
33,“Act”. “Omission”,19,52,19,0.5625,BNS 19@0.553,one_to_one_candidate,false,,
35,When such an act is criminal by reason of its being done with a criminal knowledge or inte,19,50,19,0.6756,BNS 61@0.664;BNS 190@0.635,one_to_one_candidate,false,,
36,Effect caused partly by act and partly by omission,19,53,20,0.6495,BNS 110@0.629;BNS 100@0.608,one_to_one_candidate,false,,
37,Co-operation by doing one of several acts constituting an offence,19,51,19,0.6772,,one_to_one_candidate,false,,
38,Persons concerned in criminal act may be guilty of different offences,19,110,35,0.7397,BNS 101@0.710,one_to_one_candidate,false,,
39,“Voluntarily”,20,117,38,0.6972,BNS 115@0.680;BNS 354@0.679,one_to_one_candidate,false,,
42,“Local law”,20,3,6,0.4853,BNS 9@0.480,one_to_one_candidate,false,,
43,“Illegal”. “Legally bound to do”,20,208,59,0.5234,BNS 354@0.514;BNS 223@0.506;BNS 14@0.503,one_to_one_candidate,false,,
44,“Injury”,20,116,38,0.6126,BNS 117@0.597;BNS 33@0.579;BNS 124@0.577,one_to_one_candidate,false,,
45,“Life”,20,2,2,0.4377,BNS 71@0.432,one_to_one_candidate,false,,
46,“Death”,20,39,16,0.4741,BNS 2@0.473;BNS 38@0.468;BNS 102@0.459,one_to_one_candidate,false,,
48,“Vessel”,20,284,75,0.5126,BNS 282@0.452;BNS 328@0.434,one_to_one_candidate,false,,
49,“Year”. “Month”,20,11,10,0.363,BNS 2@0.349;BNS 1@0.349,one_to_one_candidate,false,,
50,“Section”,20,57,21,0.4589,BNS 9@0.438;BNS 2@0.411,one_to_one_candidate,false,,
51,“Oath”,20,216,61,0.6283,BNS 213@0.590;BNS 227@0.546;BNS 217@0.514,one_to_one_candidate,false,,
